"geo_value","time_value","value","cumsum"
"IL",2020-01-24,1,1
"IN",2020-01-24,0,0
"KS",2020-01-24,0,0
"KY",2020-01-24,0,0
"LA",2020-01-24,0,0
"MA",2020-01-24,0,0
"MD",2020-01-24,0,0
"ME",2020-01-24,0,0
"MI",2020-01-24,0,0
"MN",2020-01-24,0,0
"MO",2020-01-24,0,0
"MS",2020-01-24,0,0
"MT",2020-01-24,0,0
"NC",2020-01-24,0,0
"ND",2020-01-24,0,0
"NE",2020-01-24,0,0
"NH",2020-01-24,0,0
"NJ",2020-01-24,0,0
"NM",2020-01-24,0,0
"NV",2020-01-24,0,0
"NY",2020-01-24,0,0
"OH",2020-01-24,0,0
"OK",2020-01-24,0,0
"OR",2020-01-24,0,0
"PA",2020-01-24,0,0
"RI",2020-01-24,0,0
"SC",2020-01-24,0,0
"SD",2020-01-24,0,0
"TN",2020-01-24,0,0
"TX",2020-01-24,0,0
"UT",2020-01-24,0,0
"VA",2020-01-24,0,0
"VT",2020-01-24,0,0
"WA",2020-01-24,0,1
"WI",2020-01-24,0,0
"WV",2020-01-24,0,0
"WY",2020-01-24,0,0
"AK",2020-01-25,0,0
"AL",2020-01-25,0,0
"AR",2020-01-25,0,0
"AZ",2020-01-25,0,0
"CA",2020-01-25,0,0
"CO",2020-01-25,0,0
"CT",2020-01-25,0,0
"DE",2020-01-25,0,0
"FL",2020-01-25,0,0
"GA",2020-01-25,0,0
"HI",2020-01-25,0,0
"IA",2020-01-25,0,0
"ID",2020-01-25,0,0
"IL",2020-01-25,0,1
"IN",2020-01-25,0,0
"KS",2020-01-25,0,0
"KY",2020-01-25,0,0
"LA",2020-01-25,0,0
"MA",2020-01-25,0,0
"MD",2020-01-25,0,0
"ME",2020-01-25,0,0
"MI",2020-01-25,0,0
"MN",2020-01-25,0,0
"MO",2020-01-25,0,0
"MS",2020-01-25,0,0
"MT",2020-01-25,0,0
"NC",2020-01-25,0,0
"ND",2020-01-25,0,0
"NE",2020-01-25,0,0
"NH",2020-01-25,0,0
"NJ",2020-01-25,0,0
"NM",2020-01-25,0,0
"NV",2020-01-25,0,0
"NY",2020-01-25,0,0
"OH",2020-01-25,0,0
"OK",2020-01-25,0,0
"OR",2020-01-25,0,0
"PA",2020-01-25,0,0
"RI",2020-01-25,0,0
"SC",2020-01-25,0,0
"SD",2020-01-25,0,0
"TN",2020-01-25,0,0
"TX",2020-01-25,0,0
"UT",2020-01-25,0,0
"VA",2020-01-25,0,0
"VT",2020-01-25,0,0
"WA",2020-01-25,0,1
"WI",2020-01-25,0,0
"WV",2020-01-25,0,0
"WY",2020-01-25,0,0
"AK",2020-01-26,0,0
"AL",2020-01-26,0,0
"AR",2020-01-26,0,0
"AZ",2020-01-26,1,1
"CA",2020-01-26,2,2
"CO",2020-01-26,0,0
"CT",2020-01-26,0,0
"DE",2020-01-26,0,0
"FL",2020-01-26,0,0
"GA",2020-01-26,0,0
"HI",2020-01-26,0,0
"IA",2020-01-26,0,0
"ID",2020-01-26,0,0
"IL",2020-01-26,0,1
"IN",2020-01-26,0,0
"KS",2020-01-26,0,0
"KY",2020-01-26,0,0
"LA",2020-01-26,0,0
"MA",2020-01-26,0,0
"MD",2020-01-26,0,0
"ME",2020-01-26,0,0
"MI",2020-01-26,0,0
"MN",2020-01-26,0,0
"MO",2020-01-26,0,0
"MS",2020-01-26,0,0
"MT",2020-01-26,0,0
"NC",2020-01-26,0,0
"ND",2020-01-26,0,0
"NE",2020-01-26,0,0
"NH",2020-01-26,0,0
"NJ",2020-01-26,0,0
"NM",2020-01-26,0,0
"NV",2020-01-26,0,0
"NY",2020-01-26,0,0
"OH",2020-01-26,0,0
"OK",2020-01-26,0,0
"OR",2020-01-26,0,0
"PA",2020-01-26,0,0
"RI",2020-01-26,0,0
"SC",2020-01-26,0,0
"SD",2020-01-26,0,0
"TN",2020-01-26,0,0
"TX",2020-01-26,0,0
"UT",2020-01-26,0,0
"VA",2020-01-26,0,0
"VT",2020-01-26,0,0
"WA",2020-01-26,0,1
"WI",2020-01-26,0,0
"WV",2020-01-26,0,0
"WY",2020-01-26,0,0
"AK",2020-01-27,0,0
"AL",2020-01-27,0,0
"AR",2020-01-27,0,0
"AZ",2020-01-27,0,1
"CA",2020-01-27,0,2
"CO",2020-01-27,0,0
"CT",2020-01-27,0,0
"DE",2020-01-27,0,0
"FL",2020-01-27,0,0
"GA",2020-01-27,0,0
"HI",2020-01-27,0,0
"IA",2020-01-27,0,0
"ID",2020-01-27,0,0
"IL",2020-01-27,0,1
"IN",2020-01-27,0,0
"KS",2020-01-27,0,0
"KY",2020-01-27,0,0
"LA",2020-01-27,0,0
"MA",2020-01-27,0,0
"MD",2020-01-27,0,0
"ME",2020-01-27,0,0
"MI",2020-01-27,0,0
"MN",2020-01-27,0,0
"MO",2020-01-27,0,0
"MS",2020-01-27,0,0
"MT",2020-01-27,0,0
"NC",2020-01-27,0,0
"ND",2020-01-27,0,0
"NE",2020-01-27,0,0
"NH",2020-01-27,0,0
"NJ",2020-01-27,0,0
"NM",2020-01-27,0,0
"NV",2020-01-27,0,0
"NY",2020-01-27,0,0
"OH",2020-01-27,0,0
"OK",2020-01-27,0,0
"OR",2020-01-27,0,0
"PA",2020-01-27,0,0
"RI",2020-01-27,0,0
"SC",2020-01-27,0,0
"SD",2020-01-27,0,0
"TN",2020-01-27,0,0
"TX",2020-01-27,0,0
"UT",2020-01-27,0,0
"VA",2020-01-27,0,0
"VT",2020-01-27,0,0
"WA",2020-01-27,0,1
"WI",2020-01-27,0,0
"WV",2020-01-27,0,0
"WY",2020-01-27,0,0
"AK",2020-01-28,0,0
"AL",2020-01-28,0,0
"AR",2020-01-28,0,0
"AZ",2020-01-28,0,1
"CA",2020-01-28,0,2
"CO",2020-01-28,0,0
"CT",2020-01-28,0,0
"DE",2020-01-28,0,0
"FL",2020-01-28,0,0
"GA",2020-01-28,0,0
"HI",2020-01-28,0,0
"IA",2020-01-28,0,0
"ID",2020-01-28,0,0
"IL",2020-01-28,0,1
"IN",2020-01-28,0,0
"KS",2020-01-28,0,0
"KY",2020-01-28,0,0
"LA",2020-01-28,0,0
"MA",2020-01-28,0,0
"MD",2020-01-28,0,0
"ME",2020-01-28,0,0
"MI",2020-01-28,0,0
"MN",2020-01-28,0,0
"MO",2020-01-28,0,0
"MS",2020-01-28,0,0
"MT",2020-01-28,0,0
"NC",2020-01-28,0,0
"ND",2020-01-28,0,0
"NE",2020-01-28,0,0
"NH",2020-01-28,0,0
"NJ",2020-01-28,0,0
"NM",2020-01-28,0,0
"NV",2020-01-28,0,0
"NY",2020-01-28,0,0
"OH",2020-01-28,0,0
"OK",2020-01-28,0,0
"OR",2020-01-28,0,0
"PA",2020-01-28,0,0
"RI",2020-01-28,0,0
"SC",2020-01-28,0,0
"SD",2020-01-28,0,0
"TN",2020-01-28,0,0
"TX",2020-01-28,0,0
"UT",2020-01-28,0,0
"VA",2020-01-28,0,0
"VT",2020-01-28,0,0
"WA",2020-01-28,0,1
"WI",2020-01-28,0,0
"WV",2020-01-28,0,0
"WY",2020-01-28,0,0
"AK",2020-01-29,0,0
"AL",2020-01-29,0,0
"AR",2020-01-29,0,0
"AZ",2020-01-29,0,1
"CA",2020-01-29,0,2
"CO",2020-01-29,0,0
"CT",2020-01-29,0,0
"DE",2020-01-29,0,0
"FL",2020-01-29,0,0
"GA",2020-01-29,0,0
"HI",2020-01-29,0,0
"IA",2020-01-29,0,0
"ID",2020-01-29,0,0
"IL",2020-01-29,0,1
"IN",2020-01-29,0,0
"KS",2020-01-29,0,0
"KY",2020-01-29,0,0
"LA",2020-01-29,0,0
"MA",2020-01-29,0,0
"MD",2020-01-29,0,0
"ME",2020-01-29,0,0
"MI",2020-01-29,0,0
"MN",2020-01-29,0,0
"MO",2020-01-29,0,0
"MS",2020-01-29,0,0
"MT",2020-01-29,0,0
"NC",2020-01-29,0,0
"ND",2020-01-29,0,0
"NE",2020-01-29,0,0
"NH",2020-01-29,0,0
"NJ",2020-01-29,0,0
"NM",2020-01-29,0,0
"NV",2020-01-29,0,0
"NY",2020-01-29,0,0
"OH",2020-01-29,0,0
"OK",2020-01-29,0,0
"OR",2020-01-29,0,0
"PA",2020-01-29,0,0
"RI",2020-01-29,0,0
"SC",2020-01-29,0,0
"SD",2020-01-29,0,0
"TN",2020-01-29,0,0
"TX",2020-01-29,0,0
"UT",2020-01-29,0,0
"VA",2020-01-29,0,0
"VT",2020-01-29,0,0
"WA",2020-01-29,0,1
"WI",2020-01-29,0,0
"WV",2020-01-29,0,0
"WY",2020-01-29,0,0
"AK",2020-01-30,0,0
"AL",2020-01-30,0,0
"AR",2020-01-30,0,0
"AZ",2020-01-30,0,1
"CA",2020-01-30,0,2
"CO",2020-01-30,0,0
"CT",2020-01-30,0,0
"DE",2020-01-30,0,0
"FL",2020-01-30,0,0
"GA",2020-01-30,0,0
"HI",2020-01-30,0,0
"IA",2020-01-30,0,0
"ID",2020-01-30,0,0
"IL",2020-01-30,0,1
"IN",2020-01-30,0,0
"KS",2020-01-30,0,0
"KY",2020-01-30,0,0
"LA",2020-01-30,0,0
"MA",2020-01-30,0,0
"MD",2020-01-30,0,0
"ME",2020-01-30,0,0
"MI",2020-01-30,0,0
"MN",2020-01-30,0,0
"MO",2020-01-30,0,0
"MS",2020-01-30,0,0
"MT",2020-01-30,0,0
"NC",2020-01-30,0,0
"ND",2020-01-30,0,0
"NE",2020-01-30,0,0
"NH",2020-01-30,0,0
"NJ",2020-01-30,0,0
"NM",2020-01-30,0,0
"NV",2020-01-30,0,0
"NY",2020-01-30,0,0
"OH",2020-01-30,0,0
"OK",2020-01-30,0,0
"OR",2020-01-30,0,0
"PA",2020-01-30,0,0
"RI",2020-01-30,0,0
"SC",2020-01-30,0,0
"SD",2020-01-30,0,0
"TN",2020-01-30,0,0
"TX",2020-01-30,0,0
"UT",2020-01-30,0,0
"VA",2020-01-30,0,0
"VT",2020-01-30,0,0
"WA",2020-01-30,0,1
"WI",2020-01-30,0,0
"WV",2020-01-30,0,0
"WY",2020-01-30,0,0
"AK",2020-01-31,0,0
"AL",2020-01-31,0,0
"AR",2020-01-31,0,0
"AZ",2020-01-31,0,1
"CA",2020-01-31,1,3
"CO",2020-01-31,0,0
"CT",2020-01-31,0,0
"DE",2020-01-31,0,0
"FL",2020-01-31,0,0
"GA",2020-01-31,0,0
"HI",2020-01-31,0,0
"IA",2020-01-31,0,0
"ID",2020-01-31,0,0
"IL",2020-01-31,1,2
"IN",2020-01-31,0,0
"KS",2020-01-31,0,0
"KY",2020-01-31,0,0
"LA",2020-01-31,0,0
"MA",2020-01-31,0,0
"MD",2020-01-31,0,0
"ME",2020-01-31,0,0
"MI",2020-01-31,0,0
"MN",2020-01-31,0,0
"MO",2020-01-31,0,0
"MS",2020-01-31,0,0
"MT",2020-01-31,0,0
"NC",2020-01-31,0,0
"ND",2020-01-31,0,0
"NE",2020-01-31,0,0
"NH",2020-01-31,0,0
"NJ",2020-01-31,0,0
"NM",2020-01-31,0,0
"NV",2020-01-31,0,0
"NY",2020-01-31,0,0
"OH",2020-01-31,0,0
"OK",2020-01-31,0,0
"OR",2020-01-31,0,0
"PA",2020-01-31,0,0
"RI",2020-01-31,0,0
"SC",2020-01-31,0,0
"SD",2020-01-31,0,0
"TN",2020-01-31,0,0
"TX",2020-01-31,0,0
"UT",2020-01-31,0,0
"VA",2020-01-31,0,0
"VT",2020-01-31,0,0
"WA",2020-01-31,0,1
"WI",2020-01-31,0,0
"WV",2020-01-31,0,0
"WY",2020-01-31,0,0
"AK",2020-02-01,0,0
"AL",2020-02-01,0,0
"AR",2020-02-01,0,0
"AZ",2020-02-01,0,1
"CA",2020-02-01,0,3
"CO",2020-02-01,0,0
"CT",2020-02-01,0,0
"DE",2020-02-01,0,0
"FL",2020-02-01,0,0
"GA",2020-02-01,0,0
"HI",2020-02-01,0,0
"IA",2020-02-01,0,0
"ID",2020-02-01,0,0
"IL",2020-02-01,0,2
"IN",2020-02-01,0,0
"KS",2020-02-01,0,0
"KY",2020-02-01,0,0
"LA",2020-02-01,0,0
"MA",2020-02-01,1,1
"MD",2020-02-01,0,0
"ME",2020-02-01,0,0
"MI",2020-02-01,0,0
"MN",2020-02-01,0,0
"MO",2020-02-01,0,0
"MS",2020-02-01,0,0
"MT",2020-02-01,0,0
"NC",2020-02-01,0,0
"ND",2020-02-01,0,0
"NE",2020-02-01,0,0
"NH",2020-02-01,0,0
"NJ",2020-02-01,0,0
"NM",2020-02-01,0,0
"NV",2020-02-01,0,0
"NY",2020-02-01,0,0
"OH",2020-02-01,0,0
"OK",2020-02-01,0,0
"OR",2020-02-01,0,0
"PA",2020-02-01,0,0
"RI",2020-02-01,0,0
"SC",2020-02-01,0,0
"SD",2020-02-01,0,0
"TN",2020-02-01,0,0
"TX",2020-02-01,0,0
"UT",2020-02-01,0,0
"VA",2020-02-01,0,0
"VT",2020-02-01,0,0
"WA",2020-02-01,0,1
"WI",2020-02-01,0,0
"WV",2020-02-01,0,0
"WY",2020-02-01,0,0
"AK",2020-02-02,0,0
"AL",2020-02-02,0,0
"AR",2020-02-02,0,0
"AZ",2020-02-02,0,1
"CA",2020-02-02,0,3
"CO",2020-02-02,0,0
"CT",2020-02-02,0,0
"DE",2020-02-02,0,0
"FL",2020-02-02,0,0
"GA",2020-02-02,0,0
"HI",2020-02-02,0,0
"IA",2020-02-02,0,0
"ID",2020-02-02,0,0
"IL",2020-02-02,0,2
"IN",2020-02-02,0,0
"KS",2020-02-02,0,0
"KY",2020-02-02,0,0
"LA",2020-02-02,0,0
"MA",2020-02-02,0,1
"MD",2020-02-02,0,0
"ME",2020-02-02,0,0
"MI",2020-02-02,0,0
"MN",2020-02-02,0,0
"MO",2020-02-02,0,0
"MS",2020-02-02,0,0
"MT",2020-02-02,0,0
"NC",2020-02-02,0,0
"ND",2020-02-02,0,0
"NE",2020-02-02,0,0
"NH",2020-02-02,0,0
"NJ",2020-02-02,0,0
"NM",2020-02-02,0,0
"NV",2020-02-02,0,0
"NY",2020-02-02,0,0
"OH",2020-02-02,0,0
"OK",2020-02-02,0,0
"OR",2020-02-02,0,0
"PA",2020-02-02,0,0
"RI",2020-02-02,0,0
"SC",2020-02-02,0,0
"SD",2020-02-02,0,0
"TN",2020-02-02,0,0
"TX",2020-02-02,0,0
"UT",2020-02-02,0,0
"VA",2020-02-02,0,0
"VT",2020-02-02,0,0
"WA",2020-02-02,0,1
"WI",2020-02-02,0,0
"WV",2020-02-02,0,0
"WY",2020-02-02,0,0
"AK",2020-02-03,0,0
"AL",2020-02-03,0,0
"AR",2020-02-03,0,0
"AZ",2020-02-03,0,1
"CA",2020-02-03,3,6
"CO",2020-02-03,0,0
"CT",2020-02-03,0,0
"DE",2020-02-03,0,0
"FL",2020-02-03,0,0
"GA",2020-02-03,0,0
"HI",2020-02-03,0,0
"IA",2020-02-03,0,0
"ID",2020-02-03,0,0
"IL",2020-02-03,0,2
"IN",2020-02-03,0,0
"KS",2020-02-03,0,0
"KY",2020-02-03,0,0
"LA",2020-02-03,0,0
"MA",2020-02-03,0,1
"MD",2020-02-03,0,0
"ME",2020-02-03,0,0
"MI",2020-02-03,0,0
"MN",2020-02-03,0,0
"MO",2020-02-03,0,0
"MS",2020-02-03,0,0
"MT",2020-02-03,0,0
"NC",2020-02-03,0,0
"ND",2020-02-03,0,0
"NE",2020-02-03,0,0
"NH",2020-02-03,0,0
"NJ",2020-02-03,0,0
"NM",2020-02-03,0,0
"NV",2020-02-03,0,0
"NY",2020-02-03,0,0
"OH",2020-02-03,0,0
"OK",2020-02-03,0,0
"OR",2020-02-03,0,0
"PA",2020-02-03,0,0
"RI",2020-02-03,0,0
"SC",2020-02-03,0,0
"SD",2020-02-03,0,0
"TN",2020-02-03,0,0
"TX",2020-02-03,0,0
"UT",2020-02-03,0,0
"VA",2020-02-03,0,0
"VT",2020-02-03,0,0
"WA",2020-02-03,0,1
"WI",2020-02-03,0,0
"WV",2020-02-03,0,0
"WY",2020-02-03,0,0
"AK",2020-02-04,0,0
"AL",2020-02-04,0,0
"AR",2020-02-04,0,0
"AZ",2020-02-04,0,1
"CA",2020-02-04,0,6
"CO",2020-02-04,0,0
"CT",2020-02-04,0,0
"DE",2020-02-04,0,0
"FL",2020-02-04,0,0
"GA",2020-02-04,0,0
"HI",2020-02-04,0,0
"IA",2020-02-04,0,0
"ID",2020-02-04,0,0
"IL",2020-02-04,0,2
"IN",2020-02-04,0,0
"KS",2020-02-04,0,0
"KY",2020-02-04,0,0
"LA",2020-02-04,0,0
"MA",2020-02-04,0,1
"MD",2020-02-04,0,0
"ME",2020-02-04,0,0
"MI",2020-02-04,0,0
"MN",2020-02-04,0,0
"MO",2020-02-04,0,0
"MS",2020-02-04,0,0
"MT",2020-02-04,0,0
"NC",2020-02-04,0,0
"ND",2020-02-04,0,0
"NE",2020-02-04,0,0
"NH",2020-02-04,0,0
"NJ",2020-02-04,0,0
"NM",2020-02-04,0,0
"NV",2020-02-04,0,0
"NY",2020-02-04,0,0
"OH",2020-02-04,0,0
"OK",2020-02-04,0,0
"OR",2020-02-04,0,0
"PA",2020-02-04,0,0
"RI",2020-02-04,0,0
"SC",2020-02-04,0,0
"SD",2020-02-04,0,0
"TN",2020-02-04,0,0
"TX",2020-02-04,0,0
"UT",2020-02-04,0,0
"VA",2020-02-04,0,0
"VT",2020-02-04,0,0
"WA",2020-02-04,0,1
"WI",2020-02-04,0,0
"WV",2020-02-04,0,0
"WY",2020-02-04,0,0
"AK",2020-02-05,0,0
"AL",2020-02-05,0,0
"AR",2020-02-05,0,0
"AZ",2020-02-05,0,1
"CA",2020-02-05,0,6
"CO",2020-02-05,0,0
"CT",2020-02-05,0,0
"DE",2020-02-05,0,0
"FL",2020-02-05,0,0
"GA",2020-02-05,0,0
"HI",2020-02-05,0,0
"IA",2020-02-05,0,0
"ID",2020-02-05,0,0
"IL",2020-02-05,0,2
"IN",2020-02-05,0,0
"KS",2020-02-05,0,0
"KY",2020-02-05,0,0
"LA",2020-02-05,0,0
"MA",2020-02-05,0,1
"MD",2020-02-05,0,0
"ME",2020-02-05,0,0
"MI",2020-02-05,0,0
"MN",2020-02-05,0,0
"MO",2020-02-05,0,0
"MS",2020-02-05,0,0
"MT",2020-02-05,0,0
"NC",2020-02-05,0,0
"ND",2020-02-05,0,0
"NE",2020-02-05,0,0
"NH",2020-02-05,0,0
"NJ",2020-02-05,0,0
"NM",2020-02-05,0,0
"NV",2020-02-05,0,0
"NY",2020-02-05,0,0
"OH",2020-02-05,0,0
"OK",2020-02-05,0,0
"OR",2020-02-05,0,0
"PA",2020-02-05,0,0
"RI",2020-02-05,0,0
"SC",2020-02-05,0,0
"SD",2020-02-05,0,0
"TN",2020-02-05,0,0
"TX",2020-02-05,0,0
"UT",2020-02-05,0,0
"VA",2020-02-05,0,0
"VT",2020-02-05,0,0
"WA",2020-02-05,0,1
"WI",2020-02-05,0,0
"WV",2020-02-05,0,0
"WY",2020-02-05,0,0
"AK",2020-02-06,0,0
"AL",2020-02-06,0,0
"AR",2020-02-06,0,0
"AZ",2020-02-06,0,1
"CA",2020-02-06,0,6
"CO",2020-02-06,0,0
"CT",2020-02-06,0,0
"DE",2020-02-06,0,0
"FL",2020-02-06,0,0
"GA",2020-02-06,0,0
"HI",2020-02-06,0,0
"IA",2020-02-06,0,0
"ID",2020-02-06,0,0
"IL",2020-02-06,0,2
"IN",2020-02-06,0,0
"KS",2020-02-06,0,0
"KY",2020-02-06,0,0
"LA",2020-02-06,0,0
"MA",2020-02-06,0,1
"MD",2020-02-06,0,0
"ME",2020-02-06,0,0
"MI",2020-02-06,0,0
"MN",2020-02-06,0,0
"MO",2020-02-06,0,0
"MS",2020-02-06,0,0
"MT",2020-02-06,0,0
"NC",2020-02-06,0,0
"ND",2020-02-06,0,0
"NE",2020-02-06,0,0
"NH",2020-02-06,0,0
"NJ",2020-02-06,0,0
"NM",2020-02-06,0,0
"NV",2020-02-06,0,0
"NY",2020-02-06,0,0
"OH",2020-02-06,0,0
"OK",2020-02-06,0,0
"OR",2020-02-06,0,0
"PA",2020-02-06,0,0
"RI",2020-02-06,0,0
"SC",2020-02-06,0,0
"SD",2020-02-06,0,0
"TN",2020-02-06,0,0
"TX",2020-02-06,0,0
"UT",2020-02-06,0,0
"VA",2020-02-06,0,0
"VT",2020-02-06,0,0
"WA",2020-02-06,0,1
"WI",2020-02-06,0,0
"WV",2020-02-06,0,0
"WY",2020-02-06,0,0
"AK",2020-02-07,0,0
"AL",2020-02-07,0,0
"AR",2020-02-07,0,0
"AZ",2020-02-07,0,1
"CA",2020-02-07,0,6
"CO",2020-02-07,0,0
"CT",2020-02-07,0,0
"DE",2020-02-07,0,0
"FL",2020-02-07,0,0
"GA",2020-02-07,0,0
"HI",2020-02-07,0,0
"IA",2020-02-07,0,0
"ID",2020-02-07,0,0
"IL",2020-02-07,0,2
"IN",2020-02-07,0,0
"KS",2020-02-07,0,0
"KY",2020-02-07,0,0
"LA",2020-02-07,0,0
"MA",2020-02-07,0,1
"MD",2020-02-07,0,0
"ME",2020-02-07,0,0
"MI",2020-02-07,0,0
"MN",2020-02-07,0,0
"MO",2020-02-07,0,0
"MS",2020-02-07,0,0
"MT",2020-02-07,0,0
"NC",2020-02-07,0,0
"ND",2020-02-07,0,0
"NE",2020-02-07,0,0
"NH",2020-02-07,0,0
"NJ",2020-02-07,0,0
"NM",2020-02-07,0,0
"NV",2020-02-07,0,0
"NY",2020-02-07,0,0
"OH",2020-02-07,0,0
"OK",2020-02-07,0,0
"OR",2020-02-07,0,0
"PA",2020-02-07,0,0
"RI",2020-02-07,0,0
"SC",2020-02-07,0,0
"SD",2020-02-07,0,0
"TN",2020-02-07,0,0
"TX",2020-02-07,0,0
"UT",2020-02-07,0,0
"VA",2020-02-07,0,0
"VT",2020-02-07,0,0
"WA",2020-02-07,0,1
"WI",2020-02-07,0,0
"WV",2020-02-07,0,0
"WY",2020-02-07,0,0
"AK",2020-02-08,0,0
"AL",2020-02-08,0,0
"AR",2020-02-08,0,0
"AZ",2020-02-08,0,1
"CA",2020-02-08,0,6
"CO",2020-02-08,0,0
"CT",2020-02-08,0,0
"DE",2020-02-08,0,0
"FL",2020-02-08,0,0
"GA",2020-02-08,0,0
"HI",2020-02-08,0,0
"IA",2020-02-08,0,0
"ID",2020-02-08,0,0
"IL",2020-02-08,0,2
"IN",2020-02-08,0,0
"KS",2020-02-08,0,0
"KY",2020-02-08,0,0
"LA",2020-02-08,0,0
"MA",2020-02-08,0,1
"MD",2020-02-08,0,0
"ME",2020-02-08,0,0
"MI",2020-02-08,0,0
"MN",2020-02-08,0,0
"MO",2020-02-08,0,0
"MS",2020-02-08,0,0
"MT",2020-02-08,0,0
"NC",2020-02-08,0,0
"ND",2020-02-08,0,0
"NE",2020-02-08,0,0
"NH",2020-02-08,0,0
"NJ",2020-02-08,0,0
"NM",2020-02-08,0,0
"NV",2020-02-08,0,0
"NY",2020-02-08,0,0
"OH",2020-02-08,0,0
"OK",2020-02-08,0,0
"OR",2020-02-08,0,0
"PA",2020-02-08,0,0
"RI",2020-02-08,0,0
"SC",2020-02-08,0,0
"SD",2020-02-08,0,0
"TN",2020-02-08,0,0
"TX",2020-02-08,0,0
"UT",2020-02-08,0,0
"VA",2020-02-08,0,0
"VT",2020-02-08,0,0
"WA",2020-02-08,0,1
"WI",2020-02-08,0,0
"WV",2020-02-08,0,0
"WY",2020-02-08,0,0
"AK",2020-02-09,0,0
"AL",2020-02-09,0,0
"AR",2020-02-09,0,0
"AZ",2020-02-09,0,1
"CA",2020-02-09,0,6
"CO",2020-02-09,0,0
"CT",2020-02-09,0,0
"DE",2020-02-09,0,0
"FL",2020-02-09,0,0
"GA",2020-02-09,0,0
"HI",2020-02-09,0,0
"IA",2020-02-09,0,0
"ID",2020-02-09,0,0
"IL",2020-02-09,0,2
"IN",2020-02-09,0,0
"KS",2020-02-09,0,0
"KY",2020-02-09,0,0
"LA",2020-02-09,0,0
"MA",2020-02-09,0,1
"MD",2020-02-09,0,0
"ME",2020-02-09,0,0
"MI",2020-02-09,0,0
"MN",2020-02-09,0,0
"MO",2020-02-09,0,0
"MS",2020-02-09,0,0
"MT",2020-02-09,0,0
"NC",2020-02-09,0,0
"ND",2020-02-09,0,0
